make,model,year_start,year_end,size_start,size_end,wheel_travel,stroke,eyetoeye,url,curve_0,curve_1,curve_2,curve_3,curve_4,curve_5
Transition,Patrol,2021,2026,SM,MD,160,60,205,https://web.archive.org/web/20250731015312/https://www.transitionbikes.com/Bikes_Patrol.cfm,1.1520467887599806,1.0874984186863494,1.0262891258804205,0.9730638183449484,0.9260645230923175,0.8819734212147433
Transition,Patrol,2021,2026,LG,XL,160,60,205,https://web.archive.org/web/20250731015312/https://www.transitionbikes.com/Bikes_Patrol.cfm,1.1550383387653893,1.0857256758030416,1.0249975326835568,0.9721754705644511,0.9255068005662133,0.8870497088587596
Transition,Sentinel,2026,2026,XS,XXL,150,60,205,https://web.archive.org/web/20250731021210/https://www.transitionbikes.com/Bikes_Sentinel.cfm,1.1692561759748636,1.0885448022223685,1.0241403269078075,0.9703601221334065,0.9229205894963056,0.8836254105765216
Transition,Spire,2026,2026,SM,LG,170,65,205,https://web.archive.org/web/20250802011310/https://www.transitionbikes.com/Bikes_Spire.cfm,1.1566851167689922,1.083768735170531,1.0195912097729567,0.9695284903346959,0.9285340677604458,0.895975650746806
Transition,Spire,2026,2026,XL,XXL,170,65,205,https://web.archive.org/web/20250802011310/https://www.transitionbikes.com/Bikes_Spire.cfm,1.1604253492988807,1.082463341471724,1.01843575907665,0.965864697926856,0.9275756852169106,0.905532818854637
Transition,Smuggler,2026,2026,SM,XXL,130,50,210,https://web.archive.org/web/20250802011933/https://www.transitionbikes.com/Bikes_Smuggler.cfm,1.213702642753769,1.1137888265324976,1.0259178737098436,0.9589363658850872,0.9075949973998368,0.8702019827341309
Transition,Spur,2026,2026,SM,XL,120,45,190,https://web.archive.org/web/20250802013234/https://www.transitionbikes.com/Bikes_Spur.cfm,1.2297839160730886,1.1117025398598788,1.019599410932144,0.9523943420170956,0.9076158297415104,0.8844819466205978
Transition,Spur,2026,2026,SM,XL,100,37.5,190,https://web.archive.org/web/20250802013234/https://www.transitionbikes.com/Bikes_Spur.cfm,1.2335792931932115,1.1178501007654276,1.0188440661295037,0.9498280071092262,0.9061075225631663,0.8830334973157961
Transition,Scout,2026,2026,XS,MD,150,57.5,205,https://web.archive.org/web/20250802012943/https://www.transitionbikes.com/Bikes_Scout.cfm,1.218191831487662,1.114267778961346,1.0291235524535916,0.9617365448672075,0.9067838667526901,0.8592900227378106
Transition,TR11,2026,2026,SM,XL,200,75,250,https://web.archive.org/web/20250802013916/https://www.transitionbikes.com/Bikes_TR11.cfm,1.105388994175806,1.1339224557318306,1.1047541949276336,1.0167399754046116,0.895398737657772,0.744874320003445
Yeti,SB165,2026,2026,SM,XL,165,65,230,https://web.archive.org/web/20250803011842/https://yeticycles.com/en-us/bikes/sb165,1.0609447361883515,1.043305316381935,1.0306457945489365,1.0192265306824961,0.9806689567581399,0.8266399743238622
Yeti,SB160,2026,2026,SM,XXL,160,65,230,https://web.archive.org/web/20250803013246/https://yeticycles.com/en-us/bikes/sb160,1.05735899848374,1.0376482534267975,1.019540942971408,1.002800435363931,0.9733136403433639,0.8935671228577378
Yeti,SB140,2026,2026,SM,XXL,140,55,210,https://web.archive.org/web/20250803014005/https://yeticycles.com/en-us/bikes/sb140,1.0579649081093363,1.0382232921987824,1.0201042735957675,1.0000275123549707,0.9671865299883778,0.9072630687399782
Yeti,SB135,2026,2026,XS,XL,135,55,210,https://web.archive.org/web/20250803014441/https://yeticycles.com/en-us/bikes/sb135,1.0605302038156463,1.040186569655336,1.0207859710083467,0.9989811626893341,0.9704493332240833,0.8968414551593867
Yeti,SB120,2026,2026,XS,XXL,120,45,190,https://web.archive.org/web/20250803014824/https://yeticycles.com/en-us/bikes/sb120,1.0514147248319008,1.031418233152065,1.0123213115903835,0.9908910537774188,0.9697213310249171,0.948728878570881
